Area,Element,Year,Value
Middle Africa,Import Quantity,2006,1387
Middle Africa,Production,2006,6
Northern Africa,Import Quantity,2006,17682
Northern Africa,Production,2006,19209
Southern Africa,Import Quantity,2006,1239
Southern Africa,Production,2006,2125
Western Africa,Import Quantity,2006,5684
Western Africa,Production,2006,88
Africa,Import Quantity,2005,29501
Africa,Production,2005,20732
Eastern Africa,Import Quantity,2005,3556
Eastern Africa,Production,2005,3072
Middle Africa,Import Quantity,2005,1228
Middle Africa,Production,2005,8
Northern Africa,Import Quantity,2005,17088
Northern Africa,Production,2005,15641
Southern Africa,Import Quantity,2005,1558
Southern Africa,Production,2005,1930
Western Africa,Import Quantity,2005,6070
Western Africa,Production,2005,80
Africa,Import Quantity,2004,24697
Africa,Production,2004,21844
Eastern Africa,Import Quantity,2004,3130
Eastern Africa,Production,2004,2441
Middle Africa,Import Quantity,2004,1190
Middle Africa,Production,2004,5
Northern Africa,Import Quantity,2004,14448
Northern Africa,Production,2004,17605
Southern Africa,Import Quantity,2004,1465
Southern Africa,Production,2004,1712
Western Africa,Import Quantity,2004,4464
Western Africa,Production,2004,81
Africa,Import Quantity,2003,23699
Africa,Production,2003,21304
Eastern Africa,Import Quantity,2003,3804
Eastern Africa,Production,2003,2375
Middle Africa,Import Quantity,2003,1142
Middle Africa,Production,2003,7
Northern Africa,Import Quantity,2003,13640
Northern Africa,Production,2003,17272
Southern Africa,Import Quantity,2003,984
Southern Africa,Production,2003,1579
Western Africa,Import Quantity,2003,4130
Western Africa,Production,2003,70
Africa,Import Quantity,2002,27341
Africa,Production,2002,16835
Eastern Africa,Import Quantity,2002,2787
Eastern Africa,Production,2002,2134
Middle Africa,Import Quantity,2002,1104
Middle Africa,Production,2002,8
Northern Africa,Import Quantity,2002,17972
Northern Africa,Production,2002,12155
Southern Africa,Import Quantity,2002,1073
Southern Africa,Production,2002,2475
Western Africa,Import Quantity,2002,4404
Western Africa,Production,2002,63
Africa,Import Quantity,2001,23132
Africa,Production,2001,17923
Eastern Africa,Import Quantity,2001,2917
Eastern Africa,Production,2001,2256
Middle Africa,Import Quantity,2001,943
Middle Africa,Production,2001,7
Northern Africa,Import Quantity,2001,14855
Northern Africa,Production,2001,13031
Southern Africa,Import Quantity,2001,465
Southern Africa,Production,2001,2562
Western Africa,Import Quantity,2001,3952
Western Africa,Production,2001,67
Africa,Import Quantity,2000,25308
Africa,Production,2000,14115
Eastern Africa,Import Quantity,2000,3028
Eastern Africa,Production,2000,1808
Middle Africa,Import Quantity,2000,975
Middle Africa,Production,2000,7
Northern Africa,Import Quantity,2000,16357
Northern Africa,Production,2000,9761
Southern Africa,Import Quantity,2000,1001
Southern Africa,Production,2000,2448
Western Africa,Import Quantity,2000,3948
Western Africa,Production,2000,91
Africa,Import Quantity,1999,20389
Africa,Production,1999,15218
Eastern Africa,Import Quantity,1999,2149
Eastern Africa,Production,1999,1803
Middle Africa,Import Quantity,1999,860
Middle Africa,Production,1999,8
Northern Africa,Import Quantity,1999,13299
Northern Africa,Production,1999,11532
Southern Africa,Import Quantity,1999,826
Southern Africa,Production,1999,1753
Western Africa,Import Quantity,1999,3254
Western Africa,Production,1999,122
Africa,Import Quantity,1998,21681
Africa,Production,1998,18606
Eastern Africa,Import Quantity,1998,2324
Eastern Africa,Production,1998,1859
Middle Africa,Import Quantity,1998,788
Middle Africa,Production,1998,11
Northern Africa,Import Quantity,1998,14038
Northern Africa,Production,1998,14690
Southern Africa,Import Quantity,1998,789
Southern Africa,Production,1998,1928
Western Africa,Import Quantity,1998,3742
Western Africa,Production,1998,118
Africa,Import Quantity,1997,21290
Africa,Production,1997,14684
Eastern Africa,Import Quantity,1997,1688
Eastern Africa,Production,1997,1773
Middle Africa,Import Quantity,1997,695
Middle Africa,Production,1997,9
Northern Africa,Import Quantity,1997,15577
Northern Africa,Production,1997,10354
Southern Africa,Import Quantity,1997,671
Southern Africa,Production,1997,2470
Western Africa,Import Quantity,1997,2659
Western Africa,Production,1997,78
Africa,Import Quantity,1996,18683
Africa,Production,1996,21897
Eastern Africa,Import Quantity,1996,1926
Eastern Africa,Production,1996,1907
Middle Africa,Import Quantity,1996,513
Middle Africa,Production,1996,8
Northern Africa,Import Quantity,1996,12707
Northern Africa,Production,1996,17178
Southern Africa,Import Quantity,1996,1354
Southern Africa,Production,1996,2751
Western Africa,Import Quantity,1996,2184
Western Africa,Production,1996,54
Africa,Import Quantity,1995,20529
Africa,Production,1995,12964
Eastern Africa,Import Quantity,1995,1649
Eastern Africa,Production,1995,1613
Middle Africa,Import Quantity,1995,543
Middle Africa,Production,1995,8
Northern Africa,Import Quantity,1995,14997
Northern Africa,Production,1995,9292
Southern Africa,Import Quantity,1995,1233
Southern Africa,Production,1995,1996
Western Africa,Import Quantity,1995,2107
Western Africa,Production,1995,56
Africa,Import Quantity,1994,20599
Africa,Production,1994,15086
Eastern Africa,Import Quantity,1994,2094
Eastern Africa,Production,1994,1527
Middle Africa,Import Quantity,1994,626
Middle Africa,Production,1994,6
Northern Africa,Import Quantity,1994,14835
Northern Africa,Production,1994,11652
Southern Africa,Import Quantity,1994,1000
Southern Africa,Production,1994,1860
Western Africa,Import Quantity,1994,2043
Western Africa,Production,1994,41
Africa,Import Quantity,1993,18891
Africa,Production,1993,12870
Eastern Africa,Import Quantity,1993,1593
Eastern Africa,Production,1993,1539
Middle Africa,Import Quantity,1993,563
Middle Africa,Production,1993,5
Northern Africa,Import Quantity,1993,12737
Northern Africa,Production,1993,9288
Southern Africa,Import Quantity,1993,1438
Southern Africa,Production,1993,1999
Western Africa,Import Quantity,1993,2560
Western Africa,Production,1993,39
Africa,Import Quantity,1992,18462
